,rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database
0,1,Perfluoroundecanoic acid CTD 00003373,0.0006999823856154149,19986.0,145187.40535746745,['TXNIP'],0.015948110370985667,DSigDB
1,2,Nobiletin CTD 00000424,0.0010499764455398322,19979.0,137035.71221916509,['TXNIP'],0.015948110370985667,DSigDB
2,3,lomustine MCF7 DOWN,0.001099975657412352,19978.0,136099.47030191717,['TXNIP'],0.015948110370985667,DSigDB
3,4,Perfluoroheptanoic acid CTD 00003374,0.0011999741185782279,19976.0,134347.69487847842,['TXNIP'],0.015948110370985667,DSigDB
4,5,celastrol MCF7 DOWN,0.0012999726251831402,19974.0,132735.46073187632,['TXNIP'],0.015948110370985667,DSigDB
5,6,Perfluorohexanesulfonic acid CTD 00004138,0.0013499718942362672,19973.0,131975.02298599784,['TXNIP'],0.015948110370985667,DSigDB
6,7,withaferin A PC3 DOWN,0.0014499704617910874,19971.0,130534.69172799007,['TXNIP'],0.015948110370985667,DSigDB
7,8,Perfluorononanoic acid CTD 00003375,0.0014499704617910874,19971.0,130534.69172799007,['TXNIP'],0.015948110370985667,DSigDB
8,9,colforsin MCF7 DOWN,0.0014999697593334861,19970.0,129851.13732048514,['TXNIP'],0.015948110370985667,DSigDB
9,10,Perfluorodecanoic acid CTD 00001721,0.0014999697593334861,19970.0,129851.13732048514,['TXNIP'],0.015948110370985667,DSigDB
10,11,sirolimus MCF7 UP,0.001599968380446728,19968.0,128549.41955786056,['TXNIP'],0.015948110370985667,DSigDB
11,12,withaferin A MCF7 DOWN,0.001599968380446728,19968.0,128549.41955786056,['TXNIP'],0.015948110370985667,DSigDB
12,13,methotrexate PC3 DOWN,0.001649967703211374,19967.0,127928.56031580272,['TXNIP'],0.015948110370985667,DSigDB
13,14,BAS-012416453 PC3 DOWN,0.0017999657178272253,19964.0,126172.23364250173,['TXNIP'],0.015948110370985667,DSigDB
14,15,ivermectin MCF7 UP,0.0018499650702878678,19963.0,125618.9446446357,['TXNIP'],0.015948110370985667,DSigDB
15,16,Clofop [ISO] CTD 00000269,0.0019499637955508469,19961.0,124555.53162481484,['TXNIP'],0.015948110370985667,DSigDB
16,17,C2-ceramide CTD 00002618,0.0019499637955508469,19961.0,124555.53162481484,['TXNIP'],0.015948110370985667,DSigDB
17,18,Dacinostat CTD 00004220,0.001999963168059245,19960.0,124043.94523066044,['TXNIP'],0.015948110370985667,DSigDB
18,19,Dehydroepiandrosterone CTD 00005761,0.001999963168059245,19960.0,124043.94523066044,['TXNIP'],0.015948110370985667,DSigDB
19,20,benzethonium chloride MCF7 UP,0.0021499613216957388,19957.0,122581.98940490963,['TXNIP'],0.015948110370985667,DSigDB
20,21,2-deoxy-D-glucose MCF7 UP,0.002199960717942337,19956.0,122117.06559109333,['TXNIP'],0.015948110370985667,DSigDB
21,22,minocycline HL60 UP,0.002199960717942337,19956.0,122117.06559109333,['TXNIP'],0.015948110370985667,DSigDB
22,23,mycophenolic acid MCF7 UP,0.002199960717942337,19956.0,122117.06559109333,['TXNIP'],0.015948110370985667,DSigDB
23,24,promethazine PC3 DOWN,0.002249960119709436,19955.0,121662.49782449215,['TXNIP'],0.015948110370985667,DSigDB
24,25,strophanthidin MCF7 UP,0.002249960119709436,19955.0,121662.49782449215,['TXNIP'],0.015948110370985667,DSigDB
25,26,ketanserin PC3 DOWN,0.002249960119709436,19955.0,121662.49782449215,['TXNIP'],0.015948110370985667,DSigDB
26,27,phenoxybenzamine MCF7 DOWN,0.002349958939238154,19953.0,120782.64067395544,['TXNIP'],0.015948110370985667,DSigDB
27,28,betulinic acid HL60 DOWN,0.002349958939238154,19953.0,120782.64067395544,['TXNIP'],0.015948110370985667,DSigDB
28,29,nifedipine HL60 DOWN,0.002349958939238154,19953.0,120782.64067395544,['TXNIP'],0.015948110370985667,DSigDB
29,30,syrosingopine MCF7 UP,0.002399958356798814,19952.0,120356.5272753826,['TXNIP'],0.015948110370985667,DSigDB
30,31,gossypol MCF7 UP,0.002399958356798814,19952.0,120356.5272753826,['TXNIP'],0.015948110370985667,DSigDB
31,32,methotrexate MCF7 DOWN,0.0025999560757154674,19948.0,118735.69700320113,['TXNIP'],0.01673721723741832,DSigDB
32,33,atovaquone HL60 DOWN,0.0027499544131125635,19945.0,117599.1294878737,['TXNIP'],0.017166382093975394,DSigDB
33,34,resveratrol MCF7 UP,0.0031499501598827875,19937.0,114844.46974572669,['TXNIP'],0.01853970665531012,DSigDB
34,35,dequalinium chloride HL60 DOWN,0.0031499501598827875,19937.0,114844.46974572669,['TXNIP'],0.01853970665531012,DSigDB
35,36,Fludarabine CTD 00001135,0.0034999466296654295,19930.0,112704.30065625212,['TXNIP'],0.01976456498822558,DSigDB
36,37,Perfluorooctanesulfonic acid CTD 00002876,0.0035499461386618763,19929.0,112415.9585341616,['TXNIP'],0.01976456498822558,DSigDB
37,38,methapyrilene PC3 DOWN,0.003799943728175252,19924.0,111031.8499691117,['TXNIP'],0.019836775418180592,DSigDB
38,39,pyrvinium HL60 DOWN,0.0038499432547502445,19923.0,110765.8407373636,['TXNIP'],0.019836775418180592,DSigDB
39,40,wortmannin MCF7 UP,0.0039999418516560555,19920.0,109987.79106467364,['TXNIP'],0.019836775418180592,DSigDB
40,41,lycorine MCF7 UP,0.0039999418516560555,19920.0,109987.79106467364,['TXNIP'],0.019836775418180592,DSigDB
41,42,LY-294002 MCF7 UP,0.004149940472691877,19917.0,109237.99888847338,['TXNIP'],0.019836775418180592,DSigDB
42,43,felodipine MCF7 UP,0.00434993867042723,19913.0,108278.80001731808,['TXNIP'],0.019836775418180592,DSigDB
43,44,gedunin CTD 00003449,0.004449937783809842,19911.0,107815.380281759,['TXNIP'],0.019836775418180592,DSigDB
44,45,pimozide MCF7 UP,0.0045499369072032085,19909.0,107362.10783923086,['TXNIP'],0.019836775418180592,DSigDB
45,46,valinomycin MCF7 UP,0.0046999356087147086,19906.0,106700.27000442924,['TXNIP'],0.019836775418180592,DSigDB
46,47,thioguanosine MCF7 UP,0.004749935180339431,19905.0,106484.27183626963,['TXNIP'],0.019836775418180592,DSigDB
47,48,0297417-0002B MCF7 DOWN,0.004949933488406853,19901.0,105642.09305076735,['TXNIP'],0.019836775418180592,DSigDB
48,49,alexidine MCF7 UP,0.004949933488406853,19901.0,105642.09305076735,['TXNIP'],0.019836775418180592,DSigDB
49,50,celastrol CTD 00002186,0.0050999322416682095,19898.0,105032.15064717118,['TXNIP'],0.019836775418180592,DSigDB
50,51,amantadine HL60 DOWN,0.0050999322416682095,19898.0,105032.15064717118,['TXNIP'],0.019836775418180592,DSigDB
