,rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database
0,1,"Diabetes Mellitus, Insulin-Dependent",2.7070345630738446e-16,22.695272772929876,813.5235751471313,"['NOS2', 'NUDT1', 'CYBA', 'SOD2', 'PTGS2', 'MPO', 'SOD1', 'DUOX1', 'TPO', 'PRDX4', 'PSMB5', 'ALB', 'NOX4', 'HMOX1', 'HPRT1', 'RAG2', 'B2M', 'DUOX2', 'HSPA1A']",6.050222248470043e-13,DisGeNET
1,2,"Kidney Failure, Acute",4.422713563898878e-12,28.93846153846154,756.5748847011683,"['NOS2', 'ALB', 'NOX4', 'HMOX1', 'CYBA', 'HPRT1', 'PTGS2', 'MPO', 'B2M', 'SOD1', 'HSPA1A']",4.942382407656996e-09,DisGeNET
2,3,Diabetes,1.0562065304808516e-11,13.383861331987042,338.2603958366636,"['NOS2', 'CYBA', 'SOD2', 'PTGS2', 'MPO', 'SOD1', 'DUOX1', 'TPO', 'PRDX4', 'CCL5', 'ALB', 'NOX4', 'HMOX1', 'RAG2', 'B2M', 'DUOX2', 'HSPA1A']",7.868738652082344e-09,DisGeNET
3,4,Inflammatory Bowel Diseases,1.526654845631456e-11,15.200892857142858,378.5836641853918,"['NOS2', 'KRT1', 'PARK7', 'PTGS2', 'MPO', 'SOD1', 'DUOX1', 'PRDX2', 'CCL5', 'ALB', 'HMOX1', 'HPRT1', 'RAG2', 'DUOX2', 'HSPA1A']",8.53018394996576e-09,DisGeNET
4,5,Diabetic Angiopathies,3.2800431676031504e-11,77.48275862068965,1870.478689695316,"['NOS2', 'ALB', 'NOX4', 'HMOX1', 'SOD2', 'MPO', 'SOD1']",1.4661792959186082e-08,DisGeNET
5,6,Hemochromatosis,1.3510251782943497e-10,62.341692789968654,1416.7141728199738,"['FTH1', 'ALB', 'HMOX1', 'SOD2', 'MPO', 'B2M', 'SOD1']",4.9081385971751205e-08,DisGeNET
6,7,Diabetes Mellitus,1.610078898369908e-10,11.093535853055457,250.1544382716495,"['NOS2', 'CYBA', 'SOD2', 'PTGS2', 'MPO', 'SOD1', 'DUOX1', 'TPO', 'PRDX4', 'CCL5', 'ALB', 'NOX4', 'HMOX1', 'RAG2', 'B2M', 'DUOX2', 'HSPA1A']",4.9081385971751205e-08,DisGeNET
7,8,"Kidney Failure, Chronic",1.7568281332170455e-10,20.180093896713615,453.2921493866256,"['PRDX5', 'NOS2', 'CCL5', 'ALB', 'NOX4', 'HMOX1', 'CYBA', 'SOD2', 'PTGS2', 'MPO', 'SOD1']",4.9081385971751205e-08,DisGeNET
8,9,Acute Kidney Insufficiency,2.0422222690188482e-10,58.52565180824222,1305.8133618273084,"['NOS2', 'ALB', 'HMOX1', 'MPO', 'B2M', 'SOD1', 'HSPA1A']",5.0715186347301396e-08,DisGeNET
9,10,Acute kidney injury,2.5866794959581103e-10,56.45152129817444,1246.1941993276102,"['NOS2', 'ALB', 'HMOX1', 'MPO', 'B2M', 'SOD1', 'HSPA1A']",5.7812286734663763e-08,DisGeNET
10,11,Heart Decompensation,5.38375658748178e-10,50.48384754990926,1077.4497266294889,"['NOS2', 'ALB', 'NOX4', 'HMOX1', 'SOD2', 'PTGS2', 'SOD1']",1.0522320289311632e-07,DisGeNET
11,12,Hyperglycemia,5.649567940570004e-10,17.975429769392033,382.7736882810412,"['PRDX4', 'NOS2', 'CCL5', 'ALB', 'NOX4', 'HMOX1', 'CYBA', 'SOD2', 'PTGS2', 'SOD1', 'HSPA1A']",1.0522320289311632e-07,DisGeNET
12,13,"Heart Failure, Right-Sided",7.068673875774987e-10,48.43434343434343,1020.5202393267451,"['NOS2', 'ALB', 'NOX4', 'HMOX1', 'SOD2', 'PTGS2', 'SOD1']",1.1301334860665885e-07,DisGeNET
13,14,Renal Insufficiency,7.079135930618452e-10,25.866141732283463,544.965956346895,"['NOS2', 'ALB', 'NOX4', 'HMOX1', 'CYBA', 'HPRT1', 'PTGS2', 'B2M', 'HSPA1A']",1.1301334860665885e-07,DisGeNET
14,15,Myocardial Failure,8.067138238149817e-10,47.470467736428816,993.9391280001843,"['NOS2', 'ALB', 'NOX4', 'HMOX1', 'SOD2', 'PTGS2', 'SOD1']",1.2020035974843226e-07,DisGeNET
15,16,Reperfusion Injury,9.183254041785735e-10,46.544024104452625,968.5098974828135,"['NOS2', 'HMOX1', 'SOD2', 'PTGS2', 'MPO', 'SOD1', 'HSPA1A']",1.2407317367253518e-07,DisGeNET
16,17,Chronic Obstructive Airway Disease,1.0663402982410666e-09,14.69330289193303,303.5494342166967,"['DUOX1', 'NOS2', 'CCL5', 'ALB', 'HMOX1', 'CYBA', 'PARK7', 'SOD2', 'PTGS2', 'MPO', 'DUOX2', 'SOD1']",1.2407317367253518e-07,DisGeNET
17,18,"Diabetes Mellitus, Experimental",1.1102744847654155e-09,45.2199089134678,932.3738623908554,"['NOS2', 'HMOX1', 'CYBA', 'SOD2', 'PTGS2', 'MPO', 'SOD1']",1.2407317367253518e-07,DisGeNET
18,19,Streptozotocin Diabetes,1.1102744847654155e-09,45.2199089134678,932.3738623908554,"['NOS2', 'HMOX1', 'CYBA', 'SOD2', 'PTGS2', 'MPO', 'SOD1']",1.2407317367253518e-07,DisGeNET
19,20,Alloxan Diabetes,1.1102744847654155e-09,45.2199089134678,932.3738623908554,"['NOS2', 'HMOX1', 'CYBA', 'SOD2', 'PTGS2', 'MPO', 'SOD1']",1.2407317367253518e-07,DisGeNET
20,21,Primary malignant neoplasm of lung,1.287584148967097e-09,8.803520518923444,180.21245029455613,"['NOS2', 'NUDT1', 'SOD2', 'PTGS2', 'MPO', 'SOD1', 'DUOX1', 'PRDX2', 'TPO', 'PRDX4', 'CCL5', 'PRDX1', 'ALB', 'NOX4', 'HMOX1', 'HPRT1', 'B2M', 'DUOX2', 'HSPA1A']",1.3703574156864103e-07,DisGeNET
21,22,Asbestosis,1.6280630399742657e-09,134.00537634408602,2711.7160246276235,"['PRDX2', 'NOS2', 'PRDX1', 'SOD2', 'MPO']",1.640151693393596e-07,DisGeNET
22,23,Parkinson Disease,1.6878518544990026e-09,11.463030303030303,231.55102507299927,"['NOS2', 'NUDT1', 'PARK7', 'SOD2', 'PTGS2', 'MPO', 'SOD1', 'PRDX2', 'PRDX5', 'TPO', 'CCL5', 'ALB', 'HMOX1', 'HSPA1A']",1.640151693393596e-07,DisGeNET
