,rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database
0,1,Cyproheptadine-37 mg/kg in CMC-Rat-Heart-1d-dn,0.008849905692612275,19823.0,93710.22884413046,['TXNIP'],0.01800746955198513,DrugMatrix
1,2,Levofloxacin-739 mg/kg in Water-Rat-Kidney-5d-dn,0.009249903264591769,19815.0,92796.46240359118,['TXNIP'],0.01800746955198513,DrugMatrix
2,3,Enoxacin-100 mg/kg in Corn Oil-Rat-Liver-3d-up,0.009499901779199581,19810.0,92244.74636351672,['TXNIP'],0.01800746955198513,DrugMatrix
3,4,Pyrogallol-1000 mg/kg in Water-Rat-Liver-1d-dn,0.009549901484107151,19809.0,92136.10493875458,['TXNIP'],0.01800746955198513,DrugMatrix
4,5,Ramipril-1500 mg/kg in CMC-Rat-Kidney-3d-up,0.009549901484107151,19809.0,92136.10493875458,['TXNIP'],0.01800746955198513,DrugMatrix
5,6,Ethylene Glycol-352 mg/kg in Water-Rat-Kidney-3d-dn,0.009549901484107151,19809.0,92136.10493875458,['TXNIP'],0.01800746955198513,DrugMatrix
6,7,Diethanolamine-620 mg/kg in Water-Rat-Kidney-3d-dn,0.009649900897259636,19807.0,91920.47679471427,['TXNIP'],0.01800746955198513,DrugMatrix
7,8,Diethanolamine-620 mg/kg in Water-Rat-Kidney-1d-dn,0.010049898587798992,19799.0,91079.21596609055,['TXNIP'],0.01800746955198513,DrugMatrix
8,9,Methotrexate-27 mg/kg in Corn Oil-Rat-Kidney-1d-dn,0.010349896893662402,19793.0,90469.42323040124,['TXNIP'],0.01800746955198513,DrugMatrix
9,10,Propylene Glycol-2000 mg/kg in Water-Rat-Kidney-1d-dn,0.010349896893662402,19793.0,90469.42323040124,['TXNIP'],0.01800746955198513,DrugMatrix
10,11,Glycidol-210 mg/kg in Water-Rat-Kidney-1d-dn,0.010349896893662402,19793.0,90469.42323040124,['TXNIP'],0.01800746955198513,DrugMatrix
11,12,Dimethyl Methylphosphonate-1500 mg/kg in Water-Rat-Kidney-1d-dn,0.010449896334017453,19791.0,90269.98130305547,['TXNIP'],0.01800746955198513,DrugMatrix
12,13,Trimethadione-535 mg/kg in Water-Rat-Kidney-1d-dn,0.010449896334017453,19791.0,90269.98130305547,['TXNIP'],0.01800746955198513,DrugMatrix
13,14,Bithionol-333 mg/kg in Corn Oil-Rat-Liver-0.25d-dn,0.010549895778641065,19789.0,90072.3900663539,['TXNIP'],0.01800746955198513,DrugMatrix
14,15,Atorvastatin-300 mg/kg in Corn Oil-Rat-Liver-0.25d-dn,0.010649895226819455,19787.0,89876.61478178046,['TXNIP'],0.01800746955198513,DrugMatrix
15,16,Sodium Selenate-1.6 mg/kg in Water-Rat-Kidney-1d-dn,0.010649895226819455,19787.0,89876.61478178046,['TXNIP'],0.01800746955198513,DrugMatrix
