,rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database
0,1,negative regulation of cell division (GO:0051782),0.0005999842544083076,19988.0,148283.11962915692,['TXNIP'],0.005249882227699161,GO_Biological_Process_2021
1,2,purinergic nucleotide receptor signaling pathway (GO:0035590),0.0010499764455398322,19979.0,137035.71221916509,['TXNIP'],0.005249882227699161,GO_Biological_Process_2021
2,3,keratinocyte differentiation (GO:0030216),0.00204996254668666,19959.0,123544.88783416105,['TXNIP'],0.006624888793284477,GO_Biological_Process_2021
3,4,epidermal cell differentiation (GO:0009913),0.0026499555173137906,19947.0,118349.78824235698,['TXNIP'],0.006624888793284477,GO_Biological_Process_2021
4,5,regulation of cell division (GO:0051302),0.003799943728175252,19924.0,111031.8499691117,['TXNIP'],0.006666569752760093,GO_Biological_Process_2021
5,6,skin development (GO:0043588),0.0039999418516560555,19920.0,109987.79106467364,['TXNIP'],0.006666569752760093,GO_Biological_Process_2021
6,7,organic substance transport (GO:0071702),0.00679991923461567,19864.0,99138.13602465816,['TXNIP'],0.00893739597130529,GO_Biological_Process_2021
7,8,nitrogen compound transport (GO:0071705),0.007149916777044232,19857.0,98106.57763600958,['TXNIP'],0.00893739597130529,GO_Biological_Process_2021
8,9,protein transport (GO:0015031),0.01844985975159816,19631.0,78380.66445106418,['TXNIP'],0.020499844168442402,GO_Biological_Process_2021
9,10,negative regulation of cellular process (GO:0048523),0.028299828506441586,19434.0,69280.25754753318,['TXNIP'],0.028299828506441586,GO_Biological_Process_2021
