,rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database
0,1,superoxide-generating NADPH oxidase activator activity (GO:0016176),2.6045660421160066e-09,424.36170212765956,8387.933303315764,"['NCF1', 'NCF2', 'NOXA1', 'NOXO1']",2.943159627591087e-07,GO_Molecular_Function_2021
1,2,SH3 domain binding (GO:0017124),1.8755023006114543e-05,29.187087307410124,317.67368689655723,"['GPX1', 'NCF1', 'NOXA1', 'DNM2']",0.0010596587998454718,GO_Molecular_Function_2021
2,3,acid-amino acid ligase activity (GO:0016881),0.00013278706358199,162.80816326530612,1453.3500081608856,"['GCLC', 'GCLM']",0.005001646061588289,GO_Molecular_Function_2021
3,4,copper ion binding (GO:0005507),0.00020552561186822234,29.623511904761905,251.50183569337895,"['PRNP', 'CCS', 'SOD3']",0.005806098535277281,GO_Molecular_Function_2021
4,5,superoxide-generating NAD(P)H oxidase activity (GO:0016175),0.0003455139191258262,90.43083900226758,720.7769792087644,"['NCF1', 'NCF2']",0.007808614572243673,GO_Molecular_Function_2021
5,6,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)",0.0006553286359164845,62.59340659340659,458.83306235776007,"['NCF1', 'NCF2']",0.01234202264309379,GO_Molecular_Function_2021
6,7,cadherin binding (GO:0045296),0.0013431641833497674,6.731586887944041,44.51414715920884,"['CCS', 'LDHA', 'APC', 'IDH1', 'PRDX6']",0.021682507531217674,GO_Molecular_Function_2021
7,8,glutathione transferase activity (GO:0004364),0.002148259243301948,32.52897959183674,199.82869057552082,"['GSTK1', 'GSTP1']",0.030344161811640017,GO_Molecular_Function_2021
8,9,tau protein binding (GO:0048156),0.004674059598481964,21.386680988184747,114.75509786105277,"['APOE', 'ACTB']",0.05868541495871799,GO_Molecular_Function_2021
9,10,flavin adenine dinucleotide binding (GO:0050660),0.008684774419685168,15.322294955718137,72.72242891249378,"['GSR', 'AOX1']",0.06720911228120299,GO_Molecular_Function_2021
10,11,protein kinase binding (GO:0019901),0.00917011795512242,4.219387312331858,19.796543035946954,"['PRDX3', 'APC', 'GSTP1', 'SQSTM1', 'ACTB']",0.06720911228120299,GO_Molecular_Function_2021
11,12,protein kinase activator activity (GO:0030295),0.011274813372500483,13.30746068919371,59.68640904597625,"['ALS2', 'ERCC6']",0.06720911228120299,GO_Molecular_Function_2021
12,13,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)",0.012686284934182437,99.725,435.52239025630115,['PRDX3'],0.06720911228120299,GO_Molecular_Function_2021
13,14,isocitrate dehydrogenase activity (GO:0004448),0.012686284934182437,99.725,435.52239025630115,['IDH1'],0.06720911228120299,GO_Molecular_Function_2021
14,15,L-histidine transmembrane transporter activity (GO:0005290),0.012686284934182437,99.725,435.52239025630115,['SLC38A5'],0.06720911228120299,GO_Molecular_Function_2021
15,16,L-lactate dehydrogenase activity (GO:0004459),0.012686284934182437,99.725,435.52239025630115,['LDHA'],0.06720911228120299,GO_Molecular_Function_2021
16,17,1-acylglycerophosphocholine O-acyltransferase activity (GO:0047184),0.015204551534686514,79.776,333.9551362891586,['PRDX6'],0.06720911228120299,GO_Molecular_Function_2021
17,18,keratin filament binding (GO:1990254),0.015204551534686514,79.776,333.9551362891586,['VIM'],0.06720911228120299,GO_Molecular_Function_2021
18,19,peroxisome targeting sequence binding (GO:0000268),0.015204551534686514,79.776,333.9551362891586,['CAT'],0.06720911228120299,GO_Molecular_Function_2021
19,20,phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228),0.015204551534686514,79.776,333.9551362891586,['APOE'],0.06720911228120299,GO_Molecular_Function_2021
20,21,L-serine transmembrane transporter activity (GO:0015194),0.015204551534686514,79.776,333.9551362891586,['SLC38A5'],0.06720911228120299,GO_Molecular_Function_2021
21,22,lactate dehydrogenase activity (GO:0004457),0.015204551534686514,79.776,333.9551362891586,['LDHA'],0.06720911228120299,GO_Molecular_Function_2021
22,23,5'-3' DNA helicase activity (GO:0043139),0.01771652174638986,66.47666666666667,268.1175238998497,['ERCC2'],0.06720911228120299,GO_Molecular_Function_2021
23,24,JUN kinase binding (GO:0008432),0.01771652174638986,66.47666666666667,268.1175238998497,['GSTP1'],0.06720911228120299,GO_Molecular_Function_2021
24,25,aspartic-type endopeptidase inhibitor activity (GO:0019828),0.01771652174638986,66.47666666666667,268.1175238998497,['PRNP'],0.06720911228120299,GO_Molecular_Function_2021
25,26,nitric-oxide synthase binding (GO:0050998),0.01771652174638986,66.47666666666667,268.1175238998497,['ACTB'],0.06720911228120299,GO_Molecular_Function_2021
26,27,amyloid-beta binding (GO:0001540),0.01774872105529438,10.398220826792256,41.9198222830743,"['PRNP', 'APOE']",0.06720911228120299,GO_Molecular_Function_2021
27,28,cuprous ion binding (GO:1903136),0.020222210774875234,56.97714285714286,222.26633779925106,['PRNP'],0.06720911228120299,GO_Molecular_Function_2021
28,29,"oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)",0.020222210774875234,56.97714285714286,222.26633779925106,['NQO1'],0.06720911228120299,GO_Molecular_Function_2021
29,30,serine transmembrane transporter activity (GO:0022889),0.020222210774875234,56.97714285714286,222.26633779925106,['SLC38A5'],0.06720911228120299,GO_Molecular_Function_2021
30,31,L-glutamine transmembrane transporter activity (GO:0015186),0.020222210774875234,56.97714285714286,222.26633779925106,['SLC38A5'],0.06720911228120299,GO_Molecular_Function_2021
