	Unnamed: 0	dataset	davies-bouldin	dunn	method	params	setting_id	silhouette
0	0	ecoli_colombos	10.947792635196233	0.14777422428107045	dummy	{u'method': u'dummy', u'n': 50}	ecoli_colombos_0	-0.0490262982525897
1	1	ecoli_colombos	7.873821243302811	0.16401250954109678	dummy	{u'method': u'dummy', u'n': 100}	ecoli_colombos_1	-0.07833916264570771
2	2	ecoli_colombos	6.433788585059393	0.16005984491740224	dummy	{u'method': u'dummy', u'n': 150}	ecoli_colombos_2	-0.121351485383549
3	3	ecoli_colombos	5.585055898941156	0.15418178057241835	dummy	{u'method': u'dummy', u'n': 200}	ecoli_colombos_3	-0.14423274448740292
4	4	ecoli_dream5	20.01957023210092	0.020609861734667397	dummy	{u'method': u'dummy', u'n': 50}	ecoli_dream5_0	-0.12031162358778433
5	5	ecoli_dream5	15.22254431688267	0.021253188527468454	dummy	{u'method': u'dummy', u'n': 100}	ecoli_dream5_1	-0.19698580504040145
6	6	ecoli_dream5	12.574469592993719	0.020128931841504542	dummy	{u'method': u'dummy', u'n': 150}	ecoli_dream5_2	-0.251291467712007
7	7	ecoli_dream5	11.03857386771203	0.021187216330432763	dummy	{u'method': u'dummy', u'n': 200}	ecoli_dream5_3	-0.3071532500972529
8	8	yeast_gpl2529	23.905755845791568	0.0226062991109977	dummy	{u'method': u'dummy', u'n': 50}	yeast_gpl2529_0	-0.115619269411196
9	9	yeast_gpl2529	17.99244097180836	0.024485576389269927	dummy	{u'method': u'dummy', u'n': 100}	yeast_gpl2529_1	-0.19785901886826898
10	10	yeast_gpl2529	15.317082705594135	0.0246171586642048	dummy	{u'method': u'dummy', u'n': 150}	yeast_gpl2529_2	-0.2365391569363945
11	11	yeast_gpl2529	13.226934347726974	0.024509821001583956	dummy	{u'method': u'dummy', u'n': 200}	yeast_gpl2529_3	-0.25639003049356457
12	12	yeast_dream5	26.00109843135716	0.020065212327556425	dummy	{u'method': u'dummy', u'n': 50}	yeast_dream5_0	-0.08896957714583836
13	13	yeast_dream5	18.464311271453944	0.020179428110204317	dummy	{u'method': u'dummy', u'n': 100}	yeast_dream5_1	-0.17342854471230462
14	14	yeast_dream5	15.104036553830495	0.02139402600204284	dummy	{u'method': u'dummy', u'n': 150}	yeast_dream5_2	-0.22326410157623627
15	15	yeast_dream5	13.873169483069491	0.021240990231461743	dummy	{u'method': u'dummy', u'n': 200}	yeast_dream5_3	-0.2593601260892248
16	16	synth_ecoli_regulondb	9.51117564249568	0.20361204899856	dummy	{u'method': u'dummy', u'n': 50}	synth_ecoli_regulondb_0	-0.05215950575745525
17	17	synth_ecoli_regulondb	6.786834531493268	0.2052541373404305	dummy	{u'method': u'dummy', u'n': 100}	synth_ecoli_regulondb_1	-0.08055240935371456
18	18	synth_ecoli_regulondb	5.5675715349442045	0.2113953805514416	dummy	{u'method': u'dummy', u'n': 150}	synth_ecoli_regulondb_2	-0.11268907202082122
19	19	synth_ecoli_regulondb	4.823375105828192	0.2014018212227456	dummy	{u'method': u'dummy', u'n': 200}	synth_ecoli_regulondb_3	-0.1303331107148077
20	20	synth_yeast_macisaac	10.212001662163026	0.16699016310776266	dummy	{u'method': u'dummy', u'n': 50}	synth_yeast_macisaac_0	-0.04614308664091365
21	21	synth_yeast_macisaac	7.3746373129750635	0.1624462558686776	dummy	{u'method': u'dummy', u'n': 100}	synth_yeast_macisaac_1	-0.07861768280189185
22	22	synth_yeast_macisaac	6.033723805376999	0.16828800544255898	dummy	{u'method': u'dummy', u'n': 150}	synth_yeast_macisaac_2	-0.09034658228806766
23	23	synth_yeast_macisaac	5.298602641041717	0.16537801331310914	dummy	{u'method': u'dummy', u'n': 200}	synth_yeast_macisaac_3	-0.12073138926029472
24	24	human_tcga	19.802977380831074	0.05780835569800919	dummy	{u'method': u'dummy', u'n': 50}	human_tcga_0	-0.03464003803705437
25	25	human_tcga	14.052508186855402	0.05858329320820005	dummy	{u'method': u'dummy', u'n': 100}	human_tcga_1	-0.05360155299969449
26	26	human_tcga	11.636969964662836	0.06299024918748011	dummy	{u'method': u'dummy', u'n': 150}	human_tcga_2	-0.06348413834630336
27	27	human_tcga	10.177798571989909	0.059717644201220936	dummy	{u'method': u'dummy', u'n': 200}	human_tcga_3	-0.08417075505127677
28	28	human_gtex	26.631729726839147	0.003311080699383771	dummy	{u'method': u'dummy', u'n': 50}	human_gtex_0	-0.07565577785619637
29	29	human_gtex	18.90026151440997	0.00335772843152961	dummy	{u'method': u'dummy', u'n': 100}	human_gtex_1	-0.12854103951415988
30	30	human_gtex	15.917938784113677	0.003290091733220517	dummy	{u'method': u'dummy', u'n': 150}	human_gtex_2	-0.14267235930400074
31	31	human_gtex	13.976188707884644	0.0033109436300961053	dummy	{u'method': u'dummy', u'n': 200}	human_gtex_3	-0.1486089175231535
32	32	human_seek_gpl5175	22.10491261528919	0.04540502117685593	dummy	{u'method': u'dummy', u'n': 50}	human_seek_gpl5175_0	-0.060011445165306224
33	33	human_seek_gpl5175	16.340607798254833	0.0490535304663243	dummy	{u'method': u'dummy', u'n': 100}	human_seek_gpl5175_1	-0.10771525988078293
34	34	human_seek_gpl5175	13.266120382579448	0.045946660680635416	dummy	{u'method': u'dummy', u'n': 150}	human_seek_gpl5175_2	-0.123461914969447
35	35	human_seek_gpl5175	11.891976722071204	0.047884687653606414	dummy	{u'method': u'dummy', u'n': 200}	human_seek_gpl5175_3	-0.14248274728631433
36	36	ecoli_precise2	18.303519041319454	0.011879966940051764	dummy	{u'method': u'dummy', u'n': 50}	ecoli_precise2_0	-0.07156932644683049
37	37	ecoli_precise2	13.172719004168082	0.011666526210460756	dummy	{u'method': u'dummy', u'n': 100}	ecoli_precise2_1	-0.11339326681341838
