	dataset	davies-bouldin	dunn	method	params	setting_id	silhouette
0	ecoli_colombos	10.947792635196233	0.14777422428107043	dummy	{u'method': u'dummy', u'n': 2}	ecoli_colombos_0	-0.0490262982525897
1	ecoli_colombos	7.873821243302811	0.16401250954109678	dummy	{u'method': u'dummy', u'n': 3}	ecoli_colombos_1	-0.07833916264570771
2	ecoli_colombos	6.433788585059393	0.16005984491740224	dummy	{u'method': u'dummy', u'n': 4}	ecoli_colombos_2	-0.12135148538354901
3	ecoli_colombos	5.585055898941155	0.15418178057241835	dummy	{u'method': u'dummy', u'n': 5}	ecoli_colombos_3	-0.14423274448740292
4	ecoli_colombos	28.97467232525786	0.1331257120686825	dummy	{u'method': u'dummy', u'n': 6}	ecoli_colombos_4	-0.011636434367993633
5	ecoli_colombos	25.149118148663348	0.13233620664123055	dummy	{u'method': u'dummy', u'n': 7}	ecoli_colombos_5	-0.017687074267114796
6	ecoli_dream5	20.019570232100918	0.020609861734667393	dummy	{u'method': u'dummy', u'n': 2}	ecoli_dream5_0	-0.12031162358778431
7	ecoli_dream5	15.22254431688267	0.021253188527468454	dummy	{u'method': u'dummy', u'n': 3}	ecoli_dream5_1	-0.19698580504040142
8	ecoli_dream5	12.57446959299372	0.020128931841504542	dummy	{u'method': u'dummy', u'n': 4}	ecoli_dream5_2	-0.251291467712007
9	ecoli_dream5	11.03857386771203	0.021187216330432763	dummy	{u'method': u'dummy', u'n': 5}	ecoli_dream5_3	-0.3071532500972529
10	ecoli_dream5	44.597826188324376	0.019331460927749424	dummy	{u'method': u'dummy', u'n': 6}	ecoli_dream5_4	-0.018279687935715362
11	ecoli_dream5	34.57334157609714	0.019331460927749424	dummy	{u'method': u'dummy', u'n': 7}	ecoli_dream5_5	-0.025743034542028854
12	yeast_gpl2529	23.905755845791564	0.0226062991109977	dummy	{u'method': u'dummy', u'n': 2}	yeast_gpl2529_0	-0.115619269411196
13	yeast_gpl2529	17.99244097180836	0.024485576389269927	dummy	{u'method': u'dummy', u'n': 3}	yeast_gpl2529_1	-0.197859018868269
14	yeast_gpl2529	15.317082705594135	0.024617158664204802	dummy	{u'method': u'dummy', u'n': 4}	yeast_gpl2529_2	-0.23653915693639455
15	yeast_gpl2529	13.226934347726974	0.024509821001583953	dummy	{u'method': u'dummy', u'n': 5}	yeast_gpl2529_3	-0.25639003049356457
16	yeast_gpl2529	61.39813514179534	0.023055690739068893	dummy	{u'method': u'dummy', u'n': 6}	yeast_gpl2529_4	-0.024953910724660248
17	yeast_gpl2529	44.94998900234004	0.02295383393427123	dummy	{u'method': u'dummy', u'n': 7}	yeast_gpl2529_5	-0.029305199397340408
18	yeast_dream5	26.00109843135716	0.020065212327556425	dummy	{u'method': u'dummy', u'n': 2}	yeast_dream5_0	-0.08896957714583836
19	yeast_dream5	18.464311271453944	0.020179428110204317	dummy	{u'method': u'dummy', u'n': 3}	yeast_dream5_1	-0.17342854471230462
