	datasetoi	datasetor	score	method	goldstandardoi	goldstandardor	ofinterest	ofreference	runningtime	moduledef	organismoi	organismnetoi	organismnetor	weight
2	ecoli_colombos	human_gtex	1.059749436754467	dummy	ecoli_regulondb#ap1	regcircuit	ecoli_colombos#ecoli_regulondb#ap1	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
3	ecoli_colombos	human_seek_gpl5175	1.059749436754467	dummy	ecoli_regulondb#ap1	regcircuit	ecoli_colombos#ecoli_regulondb#ap1	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
4	ecoli_colombos	human_tcga	1.059749436754467	dummy	ecoli_regulondb#ap1	regcircuit	ecoli_colombos#ecoli_regulondb#ap1	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
5	ecoli_colombos	yeast_dream5	1.059749436754467	dummy	ecoli_regulondb#ap1	yeast_macisaac#ap1	ecoli_colombos#ecoli_regulondb#ap1	yeast_dream5#yeast_macisaac#ap1	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
6	ecoli_colombos	yeast_dream5	0.7770190291551583	dummy	ecoli_regulondb#ap1	yeast_sisima#ap1	ecoli_colombos#ecoli_regulondb#ap1	yeast_dream5#yeast_sisima#ap1	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
7	ecoli_colombos	yeast_gpl2529	1.059749436754467	dummy	ecoli_regulondb#ap1	yeast_macisaac#ap1	ecoli_colombos#ecoli_regulondb#ap1	yeast_gpl2529#yeast_macisaac#ap1	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
8	ecoli_colombos	yeast_gpl2529	0.7770190291551583	dummy	ecoli_regulondb#ap1	yeast_sisima#ap1	ecoli_colombos#ecoli_regulondb#ap1	yeast_gpl2529#yeast_sisima#ap1	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
11	ecoli_colombos	human_gtex	0.06216109341734018	dummy	ecoli_regulondb#ap2	regcircuit	ecoli_colombos#ecoli_regulondb#ap2	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
12	ecoli_colombos	human_seek_gpl5175	0.06216109341734018	dummy	ecoli_regulondb#ap2	regcircuit	ecoli_colombos#ecoli_regulondb#ap2	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
13	ecoli_colombos	human_tcga	0.06216109341734018	dummy	ecoli_regulondb#ap2	regcircuit	ecoli_colombos#ecoli_regulondb#ap2	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
14	ecoli_colombos	yeast_dream5	0.4541981343243085	dummy	ecoli_regulondb#ap2	yeast_macisaac#ap2	ecoli_colombos#ecoli_regulondb#ap2	yeast_dream5#yeast_macisaac#ap2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
15	ecoli_colombos	yeast_dream5	0.4541981343243085	dummy	ecoli_regulondb#ap2	yeast_sisima#ap2	ecoli_colombos#ecoli_regulondb#ap2	yeast_dream5#yeast_sisima#ap2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
16	ecoli_colombos	yeast_gpl2529	0.4541981343243085	dummy	ecoli_regulondb#ap2	yeast_macisaac#ap2	ecoli_colombos#ecoli_regulondb#ap2	yeast_gpl2529#yeast_macisaac#ap2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
17	ecoli_colombos	yeast_gpl2529	0.4541981343243085	dummy	ecoli_regulondb#ap2	yeast_sisima#ap2	ecoli_colombos#ecoli_regulondb#ap2	yeast_gpl2529#yeast_sisima#ap2	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
20	ecoli_colombos	human_gtex	1.1773703499307044	dummy	ecoli_regulondb#ap3	regcircuit	ecoli_colombos#ecoli_regulondb#ap3	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
21	ecoli_colombos	human_seek_gpl5175	1.1773703499307044	dummy	ecoli_regulondb#ap3	regcircuit	ecoli_colombos#ecoli_regulondb#ap3	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
22	ecoli_colombos	human_tcga	1.1773703499307044	dummy	ecoli_regulondb#ap3	regcircuit	ecoli_colombos#ecoli_regulondb#ap3	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
23	ecoli_colombos	yeast_dream5	1.1773703499307044	dummy	ecoli_regulondb#ap3	yeast_macisaac#ap3	ecoli_colombos#ecoli_regulondb#ap3	yeast_dream5#yeast_macisaac#ap3	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
24	ecoli_colombos	yeast_dream5	0.8095901316344241	dummy	ecoli_regulondb#ap3	yeast_sisima#ap3	ecoli_colombos#ecoli_regulondb#ap3	yeast_dream5#yeast_sisima#ap3	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
25	ecoli_colombos	yeast_gpl2529	1.1773703499307044	dummy	ecoli_regulondb#ap3	yeast_macisaac#ap3	ecoli_colombos#ecoli_regulondb#ap3	yeast_gpl2529#yeast_macisaac#ap3	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
26	ecoli_colombos	yeast_gpl2529	0.8095901316344241	dummy	ecoli_regulondb#ap3	yeast_sisima#ap3	ecoli_colombos#ecoli_regulondb#ap3	yeast_gpl2529#yeast_sisima#ap3	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
29	ecoli_colombos	human_gtex	1.062699708401463	dummy	ecoli_regulondb#mcl1	regcircuit	ecoli_colombos#ecoli_regulondb#mcl1	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
30	ecoli_colombos	human_seek_gpl5175	1.062699708401463	dummy	ecoli_regulondb#mcl1	regcircuit	ecoli_colombos#ecoli_regulondb#mcl1	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
31	ecoli_colombos	human_tcga	1.062699708401463	dummy	ecoli_regulondb#mcl1	regcircuit	ecoli_colombos#ecoli_regulondb#mcl1	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
32	ecoli_colombos	yeast_dream5	1.062699708401463	dummy	ecoli_regulondb#mcl1	yeast_macisaac#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	yeast_dream5#yeast_macisaac#mcl1	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
33	ecoli_colombos	yeast_dream5	0.9248301819049534	dummy	ecoli_regulondb#mcl1	yeast_sisima#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	yeast_dream5#yeast_sisima#mcl1	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
34	ecoli_colombos	yeast_gpl2529	1.062699708401463	dummy	ecoli_regulondb#mcl1	yeast_macisaac#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	yeast_gpl2529#yeast_macisaac#mcl1	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
35	ecoli_colombos	yeast_gpl2529	0.9248301819049534	dummy	ecoli_regulondb#mcl1	yeast_sisima#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	yeast_gpl2529#yeast_sisima#mcl1	0.01888036727905273	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
38	ecoli_colombos	human_gtex	0.8912850086572847	dummy	ecoli_regulondb#mcl2	regcircuit	ecoli_colombos#ecoli_regulondb#mcl2	human_gtex#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
39	ecoli_colombos	human_seek_gpl5175	0.8912850086572847	dummy	ecoli_regulondb#mcl2	regcircuit	ecoli_colombos#ecoli_regulondb#mcl2	human_seek_gpl5175#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
40	ecoli_colombos	human_tcga	0.8912850086572847	dummy	ecoli_regulondb#mcl2	regcircuit	ecoli_colombos#ecoli_regulondb#mcl2	human_tcga#regcircuit	0.0018689632415771484	interconnected	ecoli	ecoli	regcircuit	0.0004409171075837742
41	ecoli_colombos	yeast_dream5	0.8912850086572847	dummy	ecoli_regulondb#mcl2	yeast_macisaac#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	yeast_dream5#yeast_macisaac#mcl2	0.0018689632415771484	interconnected	ecoli	ecoli	yeast	0.0004409171075837742
