	datasetoi	datasetor	score	method	goldstandardoi	goldstandardor	ofinterest	ofreference	runningtime	moduledef	organismoi	organismnetoi	organismnetor	weight
0	ecoli_colombos	ecoli_colombos	0.11234153352749894	spectral_biclust	ecoli_regulondb#ap1	ecoli_regulondb#ap1	ecoli_colombos#ecoli_regulondb#ap1	ecoli_colombos#ecoli_regulondb#ap1	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
9	ecoli_colombos	ecoli_colombos	0.3095205788636084	spectral_biclust	ecoli_regulondb#ap2	ecoli_regulondb#ap2	ecoli_colombos#ecoli_regulondb#ap2	ecoli_colombos#ecoli_regulondb#ap2	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
18	ecoli_colombos	ecoli_colombos	0.11039023227610686	spectral_biclust	ecoli_regulondb#ap3	ecoli_regulondb#ap3	ecoli_colombos#ecoli_regulondb#ap3	ecoli_colombos#ecoli_regulondb#ap3	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
27	ecoli_colombos	ecoli_colombos	0.10901143930013384	spectral_biclust	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
36	ecoli_colombos	ecoli_colombos	0.13340995224553698	spectral_biclust	ecoli_regulondb#mcl2	ecoli_regulondb#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
45	ecoli_colombos	ecoli_colombos	0.10901143930013384	spectral_biclust	ecoli_regulondb#mcl3	ecoli_regulondb#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
54	ecoli_colombos	ecoli_colombos	0.11449834120411115	spectral_biclust	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_colombos#ecoli_regulondb#minimal	ecoli_colombos#ecoli_regulondb#minimal	1782.5550782680511	minimal	ecoli	ecoli	ecoli	0.018518518518518517
65	ecoli_colombos	ecoli_colombos	0.3191530259103006	spectral_biclust	ecoli_regulondb#strict	ecoli_regulondb#strict	ecoli_colombos#ecoli_regulondb#strict	ecoli_colombos#ecoli_regulondb#strict	4207.712031364441	strict	ecoli	ecoli	ecoli	0.027777777777777776
75	ecoli_colombos	ecoli_colombos	0.09910765924455398	spectral_biclust	ecoli_regulondb#tc1	ecoli_regulondb#tc1	ecoli_colombos#ecoli_regulondb#tc1	ecoli_colombos#ecoli_regulondb#tc1	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
84	ecoli_colombos	ecoli_colombos	0.09680616593687633	spectral_biclust	ecoli_regulondb#tc2	ecoli_regulondb#tc2	ecoli_colombos#ecoli_regulondb#tc2	ecoli_colombos#ecoli_regulondb#tc2	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
93	ecoli_colombos	ecoli_colombos	0.09910765924455398	spectral_biclust	ecoli_regulondb#tc3	ecoli_regulondb#tc3	ecoli_colombos#ecoli_regulondb#tc3	ecoli_colombos#ecoli_regulondb#tc3	1782.5550782680511	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
