	datasetoi	datasetor	score	method	goldstandardoi	goldstandardor	ofinterest	ofreference	runningtime	moduledef	organismoi	organismnetoi	organismnetor	weight
0	ecoli_colombos	ecoli_colombos	1.0802636797096141	dummy	ecoli_regulondb#ap1	ecoli_regulondb#ap1	ecoli_colombos#ecoli_regulondb#ap1	ecoli_colombos#ecoli_regulondb#ap1	0.002007007598876953	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
9	ecoli_colombos	ecoli_colombos	0.4541981343243085	dummy	ecoli_regulondb#ap2	ecoli_regulondb#ap2	ecoli_colombos#ecoli_regulondb#ap2	ecoli_colombos#ecoli_regulondb#ap2	0.01888036727905273	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
18	ecoli_colombos	ecoli_colombos	1.1915476080164622	dummy	ecoli_regulondb#ap3	ecoli_regulondb#ap3	ecoli_colombos#ecoli_regulondb#ap3	ecoli_colombos#ecoli_regulondb#ap3	0.002007007598876953	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
27	ecoli_colombos	ecoli_colombos	1.1963093216785925	dummy	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	0.002007007598876953	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
36	ecoli_colombos	ecoli_colombos	1.213130647297615	dummy	ecoli_regulondb#mcl2	ecoli_regulondb#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	0.002007007598876953	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
45	ecoli_colombos	ecoli_colombos	1.257224597153622	dummy	ecoli_regulondb#mcl3	ecoli_regulondb#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	0.002007007598876953	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
54	ecoli_colombos	ecoli_colombos	0.8447518833988439	dummy	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_colombos#ecoli_regulondb#minimal	ecoli_colombos#ecoli_regulondb#minimal	0.002007007598876953	minimal	ecoli	ecoli	ecoli	0.018518518518518517
64	ecoli_colombos	ecoli_colombos	1.0021524054191924	dummy	ecoli_regulondb#strict	ecoli_regulondb#strict	ecoli_colombos#ecoli_regulondb#strict	ecoli_colombos#ecoli_regulondb#strict	0.002007007598876953	strict	ecoli	ecoli	ecoli	0.027777777777777776
73	ecoli_colombos	ecoli_colombos	1.0677938834529603	dummy	ecoli_regulondb#tc1	ecoli_regulondb#tc1	ecoli_colombos#ecoli_regulondb#tc1	ecoli_colombos#ecoli_regulondb#tc1	0.002007007598876953	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
82	ecoli_colombos	ecoli_colombos	0.5135420774516872	dummy	ecoli_regulondb#tc2	ecoli_regulondb#tc2	ecoli_colombos#ecoli_regulondb#tc2	ecoli_colombos#ecoli_regulondb#tc2	0.002007007598876953	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
91	ecoli_colombos	ecoli_colombos	0.9926224583309576	dummy	ecoli_regulondb#tc3	ecoli_regulondb#tc3	ecoli_colombos#ecoli_regulondb#tc3	ecoli_colombos#ecoli_regulondb#tc3	0.002007007598876953	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
101	ecoli_dream5	ecoli_dream5	1.14473102483959	dummy	ecoli_regulondb#ap1	ecoli_regulondb#ap1	ecoli_dream5#ecoli_regulondb#ap1	ecoli_dream5#ecoli_regulondb#ap1	0.002457857131958008	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
110	ecoli_dream5	ecoli_dream5	0.3862927865804365	dummy	ecoli_regulondb#ap2	ecoli_regulondb#ap2	ecoli_dream5#ecoli_regulondb#ap2	ecoli_dream5#ecoli_regulondb#ap2	0.021156787872314453	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
119	ecoli_dream5	ecoli_dream5	1.0767348976284516	dummy	ecoli_regulondb#ap3	ecoli_regulondb#ap3	ecoli_dream5#ecoli_regulondb#ap3	ecoli_dream5#ecoli_regulondb#ap3	0.002457857131958008	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
128	ecoli_dream5	ecoli_dream5	1.0758134668583668	dummy	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	ecoli_dream5#ecoli_regulondb#mcl1	ecoli_dream5#ecoli_regulondb#mcl1	0.002457857131958008	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
137	ecoli_dream5	ecoli_dream5	1.1620602279066634	dummy	ecoli_regulondb#mcl2	ecoli_regulondb#mcl2	ecoli_dream5#ecoli_regulondb#mcl2	ecoli_dream5#ecoli_regulondb#mcl2	0.002457857131958008	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
146	ecoli_dream5	ecoli_dream5	1.1306487372359801	dummy	ecoli_regulondb#mcl3	ecoli_regulondb#mcl3	ecoli_dream5#ecoli_regulondb#mcl3	ecoli_dream5#ecoli_regulondb#mcl3	0.002457857131958008	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
155	ecoli_dream5	ecoli_dream5	0.7489216008617406	dummy	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_dream5#ecoli_regulondb#minimal	ecoli_dream5#ecoli_regulondb#minimal	0.002457857131958008	minimal	ecoli	ecoli	ecoli	0.018518518518518517
165	ecoli_dream5	ecoli_dream5	0.9876079271717044	dummy	ecoli_regulondb#strict	ecoli_regulondb#strict	ecoli_dream5#ecoli_regulondb#strict	ecoli_dream5#ecoli_regulondb#strict	0.021156787872314453	strict	ecoli	ecoli	ecoli	0.027777777777777776
174	ecoli_dream5	ecoli_dream5	1.0110042394560363	dummy	ecoli_regulondb#tc1	ecoli_regulondb#tc1	ecoli_dream5#ecoli_regulondb#tc1	ecoli_dream5#ecoli_regulondb#tc1	0.002457857131958008	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
183	ecoli_dream5	ecoli_dream5	0.4764460511639936	dummy	ecoli_regulondb#tc2	ecoli_regulondb#tc2	ecoli_dream5#ecoli_regulondb#tc2	ecoli_dream5#ecoli_regulondb#tc2	0.021156787872314453	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
192	ecoli_dream5	ecoli_dream5	0.9400472762446206	dummy	ecoli_regulondb#tc3	ecoli_regulondb#tc3	ecoli_dream5#ecoli_regulondb#tc3	ecoli_dream5#ecoli_regulondb#tc3	0.002457857131958008	interconnected	ecoli	ecoli	ecoli	0.0030864197530864196
202	ecoli_precise2	ecoli_precise2	0.4838144470849294	dummy	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_precise2#ecoli_regulondb#minimal	ecoli_precise2#ecoli_regulondb#minimal	0.016484737396240234	minimal	ecoli	ecoli	ecoli	0.018518518518518517
233	human_gtex	human_gtex	0.15069972967751116	dummy	regcircuit	regcircuit	human_gtex#regcircuit	human_gtex#regcircuit	0.016150474548339844		human	regcircuit	regcircuit	0.05555555555555555
304	human_seek_gpl5175	human_seek_gpl5175	0.2045839349743242	dummy	regcircuit	regcircuit	human_seek_gpl5175#regcircuit	human_seek_gpl5175#regcircuit	0.003639698028564453		human	regcircuit	regcircuit	0.05555555555555555
375	human_tcga	human_tcga	0.15925176258915574	dummy	regcircuit	regcircuit	human_tcga#regcircuit	human_tcga#regcircuit	0.03147745132446289		human	regcircuit	regcircuit	0.05555555555555555
420	synth_ecoli_regulondb	synth_ecoli_regulondb	1.1020726946211534	dummy	ecoli_regulondb#ap1	ecoli_regulondb#ap1	synth_ecoli_regulondb#ecoli_regulondb#ap1	synth_ecoli_regulondb#ecoli_regulondb#ap1	0.0014469623565673828	interconnected	synth	ecoli	ecoli	0.0030864197530864196
422	synth_ecoli_regulondb	synth_ecoli_regulondb	0.6196603798621882	dummy	ecoli_regulondb#ap2	ecoli_regulondb#ap2	synth_ecoli_regulondb#ecoli_regulondb#ap2	synth_ecoli_regulondb#ecoli_regulondb#ap2	0.0179746150970459	interconnected	synth	ecoli	ecoli	0.0030864197530864196
424	synth_ecoli_regulondb	synth_ecoli_regulondb	1.1533455261173455	dummy	ecoli_regulondb#ap3	ecoli_regulondb#ap3	synth_ecoli_regulondb#ecoli_regulondb#ap3	synth_ecoli_regulondb#ecoli_regulondb#ap3	0.0014469623565673828	interconnected	synth	ecoli	ecoli	0.0030864197530864196
426	synth_ecoli_regulondb	synth_ecoli_regulondb	1.0591409965298968	dummy	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	synth_ecoli_regulondb#ecoli_regulondb#mcl1	synth_ecoli_regulondb#ecoli_regulondb#mcl1	0.0015461444854736328	interconnected	synth	ecoli	ecoli	0.0030864197530864196
