	Unnamed: 0	datasetoi	datasetor	score	method	goldstandardoi	goldstandardor	ofinterest	ofreference	runningtime	moduledef	organismoi	organismnetoi	organismnetor	weight
0	0	ecoli_colombos	ecoli_colombos	1.117668390004413	dummy	ecoli_regulondb#ap1	ecoli_regulondb#ap1	ecoli_colombos#ecoli_regulondb#ap1	ecoli_colombos#ecoli_regulondb#ap1	0.0012471675872802	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
1	9	ecoli_colombos	ecoli_colombos	0.4601419398509501	dummy	ecoli_regulondb#ap2	ecoli_regulondb#ap2	ecoli_colombos#ecoli_regulondb#ap2	ecoli_colombos#ecoli_regulondb#ap2	0.0008590221405029	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
2	18	ecoli_colombos	ecoli_colombos	1.1968374636063512	dummy	ecoli_regulondb#ap3	ecoli_regulondb#ap3	ecoli_colombos#ecoli_regulondb#ap3	ecoli_colombos#ecoli_regulondb#ap3	0.0012257099151611	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
3	27	ecoli_colombos	ecoli_colombos	1.0947295717222043	dummy	ecoli_regulondb#mcl1	ecoli_regulondb#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	ecoli_colombos#ecoli_regulondb#mcl1	0.0012257099151611	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
4	36	ecoli_colombos	ecoli_colombos	1.1416952772485147	dummy	ecoli_regulondb#mcl2	ecoli_regulondb#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	ecoli_colombos#ecoli_regulondb#mcl2	0.0012257099151611	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
5	45	ecoli_colombos	ecoli_colombos	1.1503073374453412	dummy	ecoli_regulondb#mcl3	ecoli_regulondb#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	ecoli_colombos#ecoli_regulondb#mcl3	0.0012257099151611	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
6	54	ecoli_colombos	ecoli_colombos	0.7786897640319664	dummy	ecoli_regulondb#minimal	ecoli_regulondb#minimal	ecoli_colombos#ecoli_regulondb#minimal	ecoli_colombos#ecoli_regulondb#minimal	0.0012257099151611	minimal	ecoli	ecoli	ecoli	0.0222222222222222
7	64	ecoli_colombos	ecoli_colombos	1.048613623182358	dummy	ecoli_regulondb#strict	ecoli_regulondb#strict	ecoli_colombos#ecoli_regulondb#strict	ecoli_colombos#ecoli_regulondb#strict	0.0012257099151611	strict	ecoli	ecoli	ecoli	0.0333333333333333
8	73	ecoli_colombos	ecoli_colombos	0.987183109058942	dummy	ecoli_regulondb#tc1	ecoli_regulondb#tc1	ecoli_colombos#ecoli_regulondb#tc1	ecoli_colombos#ecoli_regulondb#tc1	0.0012257099151611	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
9	82	ecoli_colombos	ecoli_colombos	0.464051745053933	dummy	ecoli_regulondb#tc2	ecoli_regulondb#tc2	ecoli_colombos#ecoli_regulondb#tc2	ecoli_colombos#ecoli_regulondb#tc2	0.0012257099151611	interconnected	ecoli	ecoli	ecoli	0.0037037037037037
